badge,prize,prize+expenses,address,location,Bathrooms,href,description,published-date,Area,Environments,Bedrooms,expenses,Garage
$,23500,23500,Del Kaiser al 1200,"Villa Bosch, Tres de Febrero",1,/propiedades/departamento-villa-bosch-48119289.html,Departamento - Villa Bosch,Publicado hoy,,,,,
$,26000,26000,Wenceslao de Tata 4900. Entre J. murias y Curapaligue,"Caseros, Tres de Febrero",1,/propiedades/departamento-2-ambientes.-wenceslao-de-tata-al-4900-48113915.html,Departamento 2 Ambientes. | Wenceslao de Tata Al 4900,Publicado desde ayer,43,2,1,,
$,26000,26000,Wenceslao de Tata 4900. Entre J. murias y Curapaligue,"Caseros, Tres de Febrero",1,/propiedades/departamento-2-ambientes.-wenceslao-de-tata-al-4900-48113895.html,Departamento 2 Ambientes. | Wenceslao de Tata Al 4900,Publicado desde ayer,43,2,1,,
$,25000,29300,Caseros,"Caseros, Tres de Febrero",1,/propiedades/departamento-2-ambientes.-hornos-general-2650-48112903.html,Departamento 2 Ambientes. | Hornos General 2650,Publicado desde ayer,52,2,1,4300.0,
$,45000,52000,Doctor Amadeo Sabattini 4700,"Caseros, Tres de Febrero",2,/propiedades/alquiler-depto-4-ambientes-con-cochera-en-caseros-48118061.html,Alquiler Depto 4 Ambientes con Cochera en Caseros,Publicado desde ayer,86,4,3,7000.0,1
$,19000,19000,Belgrano 4400,"Caseros, Tres de Febrero",1,/propiedades/monoambiente-en-alquiler-en-caseros-48116697.html,Monoambiente en Alquiler en Caseros,Publicado desde ayer,28,1,1,,
$,26000,28500,Miguel Ángel 5681,"Villa Bosch, Tres de Febrero",1,/propiedades/departamento-2-ambientes-48117443.html,Departamento 2 Ambientes,Publicado desde ayer,44,2,1,2500.0,
$,38000,38000,Caseros,"Caseros, Tres de Febrero",1,/propiedades/departamento-3-ambientes.-de-tata-wenceslao-4941-48108201.html,Departamento 3 Ambientes. | de Tata Wenceslao 4941,Publicado hace 2 días,52,3,2,,1
$,19000,19000,Martín Coronado,"Martín Coronado, Tres de Febrero",1,/propiedades/alquilo-en-estacion-martin-coronado-departamento-de-1-48108571.html,Alquilo en Estacion Martin Coronado Departamento de 1 Ambiente a Estrenar con Balcon Corrido Sin Ani,Publicado hace 2 días,33,1,,,
$,23000,23000,Poggio al 600,"Villa Bosch, Tres de Febrero",1,/propiedades/departamento-2-ambientes-48048161.html,Departamento 2 Ambientes,Publicado hace 2 días,42,2,1,,
$,42000,42000,Caseros,"Caseros, Tres de Febrero",2,/propiedades/en-alquiler-en-caseros-sobre-mitre-al-5800-48109134.html,"En Alquiler en Caseros Sobre Mitre Al 5800, Departamento en 1er Piso Al Frente de 4 Ambientes con 2",Publicado hace 2 días,120,4,3,,
$,24000,27000,Justo Jose de Urquiza 5000. Entre Gral. hornos y Constitucion,"Caseros, Tres de Febrero",1,/propiedades/depto-monoambiente-en-el-centro-de-caseros-48109614.html,Depto Monoambiente en El Centro de Caseros,Publicado hace 2 días,37,2,1,3000.0,
$,26500,26500,Av. San Martin 1300. Entre Marco polo y Aristobulo del valle,"Caseros, Tres de Febrero",1,/propiedades/departamento-2-ambientes.-av-san-martin-al-1300-48100607.html,Departamento 2 Ambientes. | Av San Martin Al 1300,Publicado hace 3 días,41,2,1,,
$,30000,33300,Esteban Merlo 4700,"Caseros, Tres de Febrero",1,/propiedades/departamento-en-alquiler-en-caseros-48105286.html,Departamento en Alquiler en Caseros,Publicado hace 3 días,60,2,1,3300.0,1
$,26000,29600,J Murias 2200,"Caseros, Tres de Febrero",,/propiedades/alquiler-de-departamento-2-ambientes-caseros-48081294.html,Alquiler de Departamento 2 Ambientes Caseros,Publicado hace 4 días,45,2,1,3600.0,
$,30000,30000,Jose María Bosch 1736,"Caseros, Tres de Febrero",1,/propiedades/departamento-en-primer-piso-al-frente.-48088096.html,Departamento en Primer Piso Al Frente.,Publicado hace 5 días,1,2,1,,
$,45000,49500,Moreno 4800. Entre Tres de febrero y Andres ferreyra,"Caseros, Tres de Febrero",,/propiedades/departamento-2-ambientes.-moreno-al-4800-48084238.html,Departamento 2 Ambientes. | Moreno Al 4800,Publicado hace 5 días,100,2,1,4500.0,
$,24000,26500,Ntra. Sra de la Merced 4300,"Caseros, Tres de Febrero",1,/propiedades/monoambiente-en-alquiler-en-caseros-48089282.html,Monoambiente en Alquiler en Caseros,Publicado hace 5 días,33,1,1,2500.0,
