badge,prize,expenses,prize+expenses,address,location,Area,Environments,Bedrooms,Bathrooms,href,description,published-date,Garage
$,28000,2000.0,30000,Andres Ferreyra al 2800,"Caseros, Tres de Febrero",65,3,2,1,/propiedades/alquiler-deparatmento-65-m-sup2--3-ambientes-48125576.html,Alquiler - Deparatmento 65 m² - 3 Ambientes - Caseros,Publicado desde ayer,
$,23500,,23500,Del Kaiser al 1200,"Villa Bosch, Tres de Febrero",,2,1,1,/propiedades/departamento-villa-bosch-48119289.html,Departamento - Villa Bosch,Publicado hace 3 días,
$,19000,,19000,Belgrano 4400,"Caseros, Tres de Febrero",28,1,1,1,/propiedades/monoambiente-en-alquiler-en-caseros-48116697.html,Monoambiente en Alquiler en Caseros,Publicado hace 4 días,
$,26000,2500.0,28500,Miguel Ángel 5681,"Villa Bosch, Tres de Febrero",44,2,1,1,/propiedades/departamento-2-ambientes-48117443.html,Departamento 2 Ambientes,Publicado hace 4 días,
$,24000,3000.0,27000,Justo Jose de Urquiza 5000. Entre Gral. hornos y Constitucion,"Caseros, Tres de Febrero",37,2,1,1,/propiedades/depto-monoambiente-en-el-centro-de-caseros-48109614.html,Depto Monoambiente en El Centro de Caseros,Publicado hace 5 días,
$,38000,,38000,Caseros,"Caseros, Tres de Febrero",52,3,2,1,/propiedades/departamento-3-ambientes.-de-tata-wenceslao-4941-48108201.html,Departamento 3 Ambientes. | de Tata Wenceslao 4941,Publicado hace 5 días,1
$,23000,,23000,Poggio al 600,"Villa Bosch, Tres de Febrero",42,2,1,1,/propiedades/departamento-2-ambientes-48048161.html,Departamento 2 Ambientes,Publicado hace 5 días,
$,42000,,42000,Caseros,"Caseros, Tres de Febrero",120,4,3,2,/propiedades/en-alquiler-en-caseros-sobre-mitre-al-5800-48109134.html,"En Alquiler en Caseros Sobre Mitre Al 5800, Departamento en 1er Piso Al Frente de 4 Ambientes con 2",Publicado hace 5 días,
$,19000,,19000,Martín Coronado,"Martín Coronado, Tres de Febrero",33,1,,1,/propiedades/alquilo-en-estacion-martin-coronado-departamento-de-1-48108571.html,Alquilo en Estacion Martin Coronado Departamento de 1 Ambiente a Estrenar con Balcon Corrido Sin Ani,Publicado hace 5 días,
$,26500,,26500,Av. San Martin 1300. Entre Marco polo y Aristobulo del valle,"Caseros, Tres de Febrero",41,2,1,1,/propiedades/departamento-2-ambientes.-av-san-martin-al-1300-48100607.html,Departamento 2 Ambientes. | Av San Martin Al 1300,Publicado hace 6 días,
$,26000,3600.0,29600,J Murias 2200,"Caseros, Tres de Febrero",45,2,1,,/propiedades/alquiler-de-departamento-2-ambientes-caseros-48081294.html,Alquiler de Departamento 2 Ambientes Caseros,Publicado hace 7 días,
$,30000,,30000,Jose María Bosch 1736,"Caseros, Tres de Febrero",1,2,1,1,/propiedades/departamento-en-primer-piso-al-frente.-48088096.html,Departamento en Primer Piso Al Frente.,Publicado hace 8 días,
$,24000,2500.0,26500,Ntra. Sra de la Merced 4300,"Caseros, Tres de Febrero",33,1,1,1,/propiedades/monoambiente-en-alquiler-en-caseros-48089282.html,Monoambiente en Alquiler en Caseros,Publicado hace 8 días,
$,45000,4500.0,49500,Moreno 4800. Entre Tres de febrero y Andres ferreyra,"Caseros, Tres de Febrero",100,2,1,,/propiedades/departamento-2-ambientes.-moreno-al-4800-48084238.html,Departamento 2 Ambientes. | Moreno Al 4800,Publicado hace 8 días,
$,20000,2300.0,22300,W. de Tata al 4500,"Caseros, Tres de Febrero",25,1,1,1,/propiedades/departamento-caseros-48075276.html,Departamento - Caseros,Publicado hace 12 días,
$,30000,,30000,Av. San Martin 3300. Entre Rebizzo y Parodi,"Caseros, Tres de Febrero",60,3,2,1,/propiedades/departamento-3-ambientes.-av-san-martin-al-3300-48069605.html,Departamento 3 Ambientes. | Av San Martin Al 3300,Publicado hace 13 días,
$,26000,2500.0,28500,Alicia Moreau de Justo 2847,"Caseros, Tres de Febrero",37,2,1,1,/propiedades/dos-ambientes-excelente-ubicacion-caseros-centro.-48063254.html,"Dos Ambientes - Excelente Ubicacion, Caseros Centro.",Publicado hace 13 días,
$,25000,,25000,Illia Nº al 1200,"Villa Bosch, Tres de Febrero",40,2,1,1,/propiedades/departamento-villa-bosch-48054780.html,Departamento - Villa Bosch,Publicado hace 15 días,
$,20000,1200.0,21200,Avenida Libertador General San Martín 2200,"Caseros, Tres de Febrero",25,1,,1,/propiedades/alquiler-monoambiente-centro-caseros-48054350.html,Alquiler Monoambiente Centro Caseros,Publicado hace 15 días,
$,20000,2700.0,22700,Pasaje Galvan 2600. Entre Pres. kennedy y Gral. manuel belgrano,"Caseros, Tres de Febrero",29,1,1,1,/propiedades/mono-ambiente-con-cochera-en-alquiler-caseros-48036373.html,"Mono Ambiente con Cochera en Alquiler, Caseros",Publicado hace 19 días,1
$,19000,2600.0,21600,Caseros,"Caseros, Tres de Febrero",27,1,,1,/propiedades/departamento-monoambiente.-frugone-2960-48042502.html,Departamento Monoambiente. | Frugone 2960,Publicado hace 19 días,
$,24000,,24000,MONTEAGUDO 1100. Entre Santos vega y Ascasubi,"Villa Bosch, Tres de Febrero",45,2,1,,/propiedades/en-alquiler-ph-2-ambientes-villa-bosch-48030898.html,"En Alquiler PH 2 Ambientes, Villa Bosch",Publicado hace 20 días,
$,23000,,23000,Perdiguero 1200 pb,"Caseros, Tres de Febrero",35,2,1,1,/propiedades/ph-de-2-ambientes-en-planta-baja-48027804.html,PH de 2 Ambientes en Planta Baja,Publicado hace 21 días,
$,22000,3000.0,25000,Avenida Mitre 4965,"Caseros, Tres de Febrero",35,1,,1,/propiedades/departamento-de-1-ambientes-con-balcon-47999400.html,Departamento de 1 Ambientes con Balcon,Publicado hace 27 días,
$,35000,500.0,35500,Gabriel Linares 4650,"Caseros, Tres de Febrero",100,3,2,1,/propiedades/departamento-47998816.html,Departamento,Publicado desde ayer,
$,25000,,25000,Belgrano 4400,"Caseros, Tres de Febrero",25,2,1,1,/propiedades/departamento-en-alquiler-en-caseros-47987952.html,Departamento en Alquiler en Caseros,Publicado hace 28 días,
$,25000,4174.0,29174,MARCO POLO 5116. Entre Hornos general y Baldini maestra,"Caseros, Tres de Febrero",40,2,1,1,/propiedades/departamento-2-ambientes.-marco-polo-5116-47986575.html,Departamento 2 Ambientes. | Marco Polo 5116,Publicado hace 29 días,
